iata,icao,name,country,latitude,longitude,altitude,continent
LCG,LECO,A Coruna Airport,Spain,43.302059,-8.37725,326,Europe
AAH,EDKA,Aachen Merzbruck Airport,Germany,50.821899,6.184759,626,Europe
AAL,EKYT,Aalborg Airport,Denmark,57.095112,9.855172,3,Europe
AAR,EKAH,Aarhus Airport,Denmark,56.303295,10.619129,71,Europe
QEA,EKAC,Aarhus Sea Airport,Denmark,56.151993,10.247725,1,Europe
JEG,BGAA,Aasiaat Airport,Greenland,68.72184,-52.784698,74,America
ABD,OIAA,Abadan Airport,Iran,30.371111,48.228329,19,Asia
ABA,UNAA,Abakan International Airport,Russia,53.740002,91.385002,831,Asia
YXX,CYXX,Abbotsford International Airport,Canada,49.025269,-122.360001,195,America
AEA,NGTB,Abemama Airport,Kiribati,0.490833,173.828598,8,Pacific
ABZ,EGPD,Aberdeen International Airport,United Kingdom,57.201939,-2.19777,215,Europe
ABR,KABR,Aberdeen Regional Airport,United States,45.439999,-98.419998,1302,America
AHB,OEAB,Abha Regional Airport,Saudi Arabia,18.24036,42.65662,6858,Asia
ABJ,DIAP,Abidjan Port Bouet Airport,Ivory Coast,5.261386,-3.92629,21,Africa
ABI,KABI,Abilene Regional Airport,United States,32.411301,-99.681801,1790,America
VJI,KVJI,Abingdon Virginia Highlands Airport,United States,36.686111,-82.033333,2088,America
AZI,OMAD,Abu Dhabi Al Bateen Executive Airport,United Arab Emirates,24.428329,54.45808,16,Asia
DHF,OMAM,Abu Dhabi Al Dhafra Air Base,United Arab Emirates,24.248199,54.547699,77,Asia
AUH,OMAA,Abu Dhabi Zayed International Airport,United Arab Emirates,24.442856,54.651474,62,Asia
AEU,OIBA,Abu Musa Island Airport,Iran,25.8757,55.033001,23,Asia
ABS,HEBL,Abu Simbel Airport,Egypt,22.37595,31.611719,616,Africa
ABV,DNAA,Abuja Nnamdi Azikiwe International Airport,Nigeria,9.006792,7.263172,1123,Africa
ACA,MMAA,Acapulco International Airport,Mexico,16.757059,-99.753899,16,America
ACC,DGAA,Accra Kotoka International Airport,Ghana,5.605186,-0.16678,205,Africa
ADT,KADH,Ada Municipal Airport,United States,34.804298,-96.671303,1016,America
ADK,PADK,Adak Airport,United States,51.87796,-176.645996,18,America
AIP,VIAX,Adampur Airport,India,31.433056,75.760559,776,Asia
UAB,LTAG,Adana Incirlik Airport,Turkey,37.001099,35.424721,198,Europe
ADA,LTAF,Adana Sakirpasa Airport,Turkey,36.982159,35.28038,65,Europe
ADD,HAAB,Addis Ababa Bole Airport,Ethiopia,8.977889,38.799309,7656,Africa
ADL,YPAD,Adelaide Airport,Australia,-34.947392,138.533417,15,Australia
QBP,YPPF,Adelaide Parafield Airport,Australia,-34.793682,138.635376,44,Australia
ADE,OYAA,Aden International Airport,Yemen,12.82954,45.02879,7,Asia
ADF,LTCP,Adiyaman Airport,Turkey,37.731361,38.468929,2216,Europe
AZR,DAUA,Adrar Airport,Algeria,27.83758,-0.18641,919,Africa
ADG,KADG,Adrian Lenawee County Airport,United States,41.86607,-84.078293,798,America
AFO,KAFO,Afton Municipal Airport,United States,42.711201,-110.942001,6221,America
AJY,DRZA,Agades Mano Dayak International Airport,Niger,16.96599,8.000114,1657,Africa
AGA,GMAD,Agadir Al Massira Airport,Morocco,30.324989,-9.41306,250,Africa
IXA,VEAT,Agartala Airport,India,23.886971,91.240448,46,Asia
AGX,VOAT,Agatti Airport,India,10.82365,72.176041,14,Asia
AGF,LFBA,Agen La Garenne Airport,France,44.174709,0.590619,204,Europe
AKW,OIAG,Aghajari Airport,Iran,30.7444,49.6772,88,Asia
AGR,VIAG,Agra Airport,India,27.15583,77.960892,551,Asia
AJI,LTCO,Agri Airport,Turkey,39.65456,43.027149,5462,Europe
GGB,SWHP,Agua Boa Airport,Brazil,-14.019444,-52.152222,1506,America
HAY,SKAG,Aguachica Hacaritama Airport,Colombia,8.246203,-73.579628,531,America
BQN,TJBQ,Aguadilla Rafael Hernandez Airport,Puerto Rico,18.49486,-67.129402,237,America
AGU,MMAS,Aguascalientes International Airport,Mexico,21.705549,-102.317001,6112,America
AHE,NTHE,Ahe Airport,French Polynesia,-14.42759,-146.255981,11,Pacific
AMD,VAAH,Ahmedabad International Airport,India,23.07724,72.634651,189,Asia
AWZ,OIAW,Ahwaz International Airport,Iran,31.337429,48.761951,66,Asia
AIK,KAIK,Aiken Municipal Airport,United States,33.649399,-81.684998,528,America
ROR,PTRO,Airai Roman Tmetuchl International Airport,Palau,7.367303,134.544205,176,Pacific
AIT,NCAI,Aitutaki Airport,Cook Islands,-18.8309,-159.764008,14,Pacific
QXB,LFMA,Aix-en-Provence Airport,France,43.50528,5.367222,368,Europe
AJL,VELP,Aizawl Lengpui Airport,India,23.838442,92.620361,1001,Asia
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,France,41.923882,8.8025,16,Europe
AKI,PFAK,Akiak Airport,United States,60.902901,-161.231003,30,America
AXT,RJSK,Akita Airport,Japan,39.615551,140.218597,313,Asia
LAK,CYKD,Aklavik Airport,Canada,68.223297,-135.005997,23,America
CAK,KCAK,Akron Canton Airport,United States,40.91608,-81.442101,1225,America
AKC,KAKR,Akron Fulton International Airport,United States,41.037498,-81.466904,1067,America
AKU,ZWAK,Aksu Airport,China,41.262501,80.291664,3816,Asia
SCO,UATE,Aktau Airport,Kazakhstan,43.86005,51.091969,73,Asia
PVK,LGPZ,Aktion National Airport,Greece,38.925461,20.76531,11,Europe
AKX,UATT,Aktobe Airport,Kazakhstan,50.245831,57.206661,738,Asia
AKV,CYKO,Akulivik Airport,Canada,60.818611,-78.148613,75,America
AKR,DNAK,Akure Airport,Nigeria,7.246739,5.301008,1100,Africa
AEY,BIAR,Akureyri Airport,Iceland,65.658607,-18.072201,6,Atlantic
KQA,PAUT,Akutan Airport,United States,54.144615,-165.604309,84,America
AAN,OMAL,Al Ain International Airport,United Arab Emirates,24.26166,55.609161,869,Asia
IQA,ORAA,Al Asad Air Base,Iraq,33.785599,42.4412,581,Asia
AHU,GMTA,Al Hoceima Cherif Al Idrissi Airport,Morocco,35.177101,-3.83952,95,Africa
NJF,ORNI,Al Najaf International Airport,Iraq,31.991667,44.404167,108,Asia
XJD,OTBH,Al Udeid Air Base,Qatar,25.114941,51.316105,130,Asia
ULH,OEAO,Al Ula  Airport,Saudi Arabia,26.480862,38.116653,2017,Asia
EJH,OEWJ,Al Wajh Airport,Saudi Arabia,26.198334,36.476112,66,Asia
ABT,OEBA,Al-Baha Domestic Airport,Saudi Arabia,20.296129,41.63427,5486,Asia
KAC,OSKL,Al-Qamishli Airport,Syria,37.031025,41.205559,1480,Asia
ELQ,OEGS,Al-Qassim International Airport,Saudi Arabia,26.30282,43.773911,2126,Asia
AUK,PAUK,Alakanuk Airport,United States,62.683056,-164.722198,22,America
ALM,KALM,Alamogordo White Sands Regional Airport,United States,32.845833,-105.985275,4200,America
ALS,KALS,Alamosa San Luis Valley Regional Airport,United States,37.43491,-105.865997,7539,America
ABC,LEAB,Albacete Airport,Spain,38.948502,-1.86352,2302,Europe
ALH,YABA,Albany Airport,Australia,-34.939999,117.800003,233,Australia
ALB,KALB,Albany International Airport,United States,42.749111,-73.801903,285,America
ABY,KABY,Albany Southwest Georgia Regional Airport,United States,31.535526,-84.193428,193,America
ALL,LIMG,Albenga Clemente Panero International Airport,Italy,44.050598,8.127428,148,Europe
BYF,LFAQ,Albert Picardie Airport,France,49.9715,2.69766,364,Europe
QFA,LFKA,Albertville Airport,France,45.626598,6.329078,1037,Europe
LBI,LFCI,Albi Le Sequestre Airport,France,43.913269,2.11675,564,Europe
ABQ,KABQ,Albuquerque International Airport,United States,35.040218,-106.609001,5355,America
ABX,YMAY,Albury Airport,Australia,-36.067699,146.957993,539,Australia
ADH,UEEA,Aldan Airport,Russia,58.602772,125.408798,2241,Asia
ACI,EGJA,Alderney Airport,Guernsey,49.706745,-2.214291,283,Europe
ALQ,SSLT,Alegrete Novo Airport,Brazil,-29.8127,-55.893398,459,America
ALP,OSAP,Aleppo International Airport,Syria,36.180672,37.22435,1276,Asia
YLT,CYLT,Alert Airport,Canada,82.517776,-62.280556,100,America
AES,ENAL,Alesund Vigra Airport,Norway,62.560371,6.110164,69,Europe
ALX,KALX,Alexander City Thomas C Russell Field,United States,32.933334,-85.949997,686,America
HBE,HEBA,Alexandria Borg El Arab Airport,Egypt,30.91766,29.6964,177,Africa
AEX,KAEX,Alexandria International Airport,United States,31.32737,-92.5485,89,America
AXN,KAXN,Alexandria Municipal Airport,United States,45.867222,-95.394165,1425,America
AXD,LGAL,Alexandroupolis International Airport,Greece,40.855862,25.956261,24,Europe
QYH,LEAG,Algeciras Heliport,Spain,36.128887,-5.441111,98,Africa
AHO,LIEA,Alghero Fertilia Airport,Italy,40.63213,8.290772,87,Europe
ALG,DAAG,Algiers Houari Boumediene Airport,Algeria,36.69101,3.215408,82,Africa
ALC,LEAL,Alicante Airport,Spain,38.282162,-0.55815,142,Europe
ALI,KALI,Alice International Airport,United States,27.740879,-98.026901,178,America
ASP,YBAS,Alice Springs Airport,Australia,-23.806601,133.902206,1789,Australia
IXD,VEAB,Allahabad Airport,India,25.439886,81.734406,319,Asia
AET,PFAL,Allakaket Airport,United States,66.551804,-152.621994,441,America
QEQ,EDFQ,Allendorf Airport,Germany,51.035713,8.679523,1164,Europe
ABE,KABE,Allentown Lehigh Valley International Airport,United States,40.652302,-75.440399,393,America
AIA,KAIA,Alliance Municipal Airport,United States,42.053219,-102.803001,3931,America
YTF,CYTF,Alma Airport,Canada,48.509655,-71.642715,434,America
ALA,UAAA,Almaty International Airport,Kazakhstan,43.354755,77.044792,2231,Asia
GGF,SNYA,Almeirim Airport,Brazil,-1.479167,-52.578056,584,America
LEI,LEAM,Almeria Airport,Spain,36.843929,-2.37009,70,Europe
ARD,WATM,Alor Island Airport,Indonesia,-8.13234,124.597,10,Asia
AOR,WMKA,Alor Setar Sultan Abdul Halim Airport,Malaysia,6.189667,100.398102,15,Asia
APN,KAPN,Alpena County Regional Airport,United States,45.081669,-83.555832,689,America
ALF,ENAT,Alta Airport,Norway,69.976112,23.37166,9,Europe
AFL,SBAT,Alta Floresta Airport,Brazil,-9.86609,-56.106201,947,America
LTI,ZMAT,Altai Airport,Mongolia,46.650002,96.416664,7261,Asia
ATM,SBHT,Altamira Airport,Brazil,-3.2539,-52.253899,368,America
AAT,ZWAT,Altay Airport,China,47.750362,88.084442,1750,Asia
AOC,EDAC,Altenburg Nobitz Airport,Germany,50.981812,12.50636,640,Europe
QCA,ETHA,Altenstadt Air Base,Germany,47.835518,10.870574,2423,Europe
ALN,KALN,Alton St. Louis Regional Airport,United States,38.890301,-90.045998,544,America
AOO,KAOO,Altoona Blair County Airport,United States,40.296371,-78.32,1503,America
AVR,LPAR,Alverca Airport,Portugal,38.884068,-9.029201,5,Europe
AXF,ZBAL,Alxa Left Banner Airport,China,38.747047,105.585693,4580,Asia
ZIS,HLZN,Alzintan Airport,Libya,31.775,12.25,2080,Africa
AXJ,RJDA,Amakusa Airport,Japan,32.483261,130.15564,328,Asia
ASJ,RJKA,Amami Airport,Japan,28.43063,129.712494,27,Asia
AMA,KAMA,Amarillo Rick Husband  International Airport,United States,35.21936,-101.705002,3607,America
TDW,KTDW,Amarillo Tradewind Airport,United States,35.169899,-101.825996,3649,America
AMT,YAMT,Amata Airport,Australia,-26.097277,131.202667,2179,Australia
ABL,PAFM,Ambler Airport,United States,67.087502,-157.84584,289,America
AMQ,WAPP,Ambon Pattimura Airport,Indonesia,-3.71026,128.089096,33,Asia
ASV,HKAM,Amboseli Airport,Kenya,-2.633,37.25,3755,Africa
AMW,KAMW,Ames Municipal Airport,United States,41.992001,-93.621803,956,America
ADJ,OJAM,Amman Civil Airport,Jordan,31.9727,35.991562,2555,Asia
AMM,OJAI,Amman Queen Alia International Airport,Jordan,31.722549,35.99321,2395,Asia
YEY,CYEY,Amos Magny Airport,Canada,48.564838,-78.249146,1076,America
OJU,WAFU,Ampana Tanjung Api Airport,Indonesia,-0.864846,121.627632,108,Asia
ATQ,VIAR,Amritsar International Airport,India,31.709591,74.797256,756,Asia
AMS,EHAM,Amsterdam Schiphol Airport,Netherlands,52.308609,4.763889,-11,Europe
AAA,NTGA,Anaa Airport,French Polynesia,-17.353258,-145.509583,23,Pacific
DYR,UHMA,Anadyr Ugolny Airport,Russia,64.730003,177.740005,194,Asia
AKP,PAKP,Anaktuvuk Pass Airport,United States,68.129997,-151.740005,2106,America
AAQ,URKA,Anapa Airport,Russia,45.00209,37.347271,174,Europe
APS,SBAN,Anapolis Airport,Brazil,-16.22714,-48.963783,3712,America
EDF,PAED,Anchorage Elmendorf Air Force Base,United States,61.251339,-149.806,213,America
MRI,PAMR,Anchorage Merrill Field Airport,United States,61.213539,-149.843994,137,America
ANC,PANC,Anchorage Ted Stevens International Airport,United States,61.174358,-149.996002,151,America
AOI,LIPY,Ancona Airport,Italy,43.616341,13.36231,49,Europe
ANX,ENAN,Andenes Andoya Airport,Norway,69.292503,16.144159,43,Europe
UAM,PGUA,Andersen Air Force Base,Guam,13.583723,144.929474,538,Pacific
AID,KAID,Anderson Municipal Airport,United States,40.108665,-85.613815,891,America
AND,KAND,Anderson Regional Airport,United States,34.494579,-82.709297,782,America
AZN,UTFA,Andizhan Airport,Uzbekistan,40.72773,72.294006,1515,Asia
LEU,LESU,Andorra La Seu de Urgel Airport,Spain,42.34058,1.410326,2625,Europe
ASD,MYAF,Andros Town International Airport,Bahamas,24.69828,-77.795601,5,America
NGD,TUPA,Anegada Auguste George Airport,Virgin Islands British,18.727394,-64.330055,21,America
CRK,RPLC,Angeles City Clark International Airport,Philippines,15.18598,120.560303,484,Asia
AGH,ESTA,Angelholm Helsingborg Airport,Sweden,56.29607,12.84713,68,Europe
ANE,LFJR,Angers Loire Airport,France,47.56028,-0.312222,194,Europe
VLY,EGOV,Anglesey Airport,United Kingdom,53.250095,-4.539055,25,Europe
ANQ,KANQ,Angola Tri-State Steuben County Airport,United States,41.639702,-85.083504,995,America
AGN,PAGN,Angoon Seaplane Base,United States,57.497993,-134.572617,2,America
ANG,LFBU,Angouleme Cognac International Airport,France,45.729469,0.219153,436,Europe
GDR,SDAG,Angra dos Reis Airport,Brazil,-22.975279,-44.30722,10,America
ANI,PANI,Aniak Airport,United States,61.581669,-159.54306,89,America
AJN,FMCV,Anjouan Ouani Airport,Comoros,-12.1316,44.430271,62,Indian
AKA,ZLAK,Ankang Fuqiang Airport,China,32.708099,108.931046,849,Asia
ESB,LTAC,Ankara Esenboga International Airport,Turkey,40.128078,32.995079,3125,Europe
QQK,KIKV,Ankeny Regional Airport,United States,41.691113,-93.566391,910,America
VBA,VYAN,Ann Airport,Myanmar (Burma),19.770643,94.026405,43,Asia
ARB,KARB,Ann Arbor Municipal Airport,United States,42.223057,-83.74556,839,America
AAE,DABB,Annaba Rabah Bitat Airport,Algeria,36.82222,7.809167,16,Africa
ANP,KANP,Annapolis Lee Airport,United States,38.942902,-76.568398,34,America
NCY,LFLP,Annecy Mont Blanc Airport,France,45.930771,6.106289,1519,Europe
QYA,LFLI,Annemasse Airport,France,46.19194,6.269444,1617,Europe
ANB,KANB,Anniston Regional,United States,33.588161,-85.858101,612,America
NBN,FGAN,Annobon Airport,Equatorial Guinea,-1.408897,5.62394,85,Africa
AQG,ZSAQ,Anqing Tianzhushan Airport,China,30.582222,117.050278,-1,Asia
AOG,ZYAS,Anshan Teng'ao Airport,China,41.103523,122.855835,53,Asia
AVA,ZUAS,Anshun Huangguoshu Airport,China,26.260555,105.873337,4812,Asia
HTY,LTDA,Antakya Hatay Airport,Turkey,36.362778,36.282223,25,Europe
AYT,LTAI,Antalya Airport,Turkey,36.898731,30.800461,177,Europe
TNR,FMMI,Antananarivo Ivato International Airport,Madagascar,-18.7969,47.478802,4198,Indian
ANU,TAPA,Antigua V. C. Bird International Airport,Antigua And Barbuda,17.13674,-61.792599,62,America
ANF,SCFA,Antofagasta International Airport,Chile,-23.444401,-70.445099,455,America
DIE,FMNA,Antsiranana Arrachart Airport,Madagascar,-12.3494,49.29174,374,Indian
ANR,EBAW,Antwerp International Airport,Belgium,51.19014,4.462338,27,Europe
ANV,PANV,Anvik Airport,United States,62.647778,-160.188889,309,America
HQQ,ZHQQ,Anyang Hongqiqu Airport,China,35.869514,114.465767,344,Asia
AOJ,RJSA,Aomori Airport,Japan,40.734718,140.690796,664,Asia
AOT,LIMW,Aosta Airport,Italy,45.738499,7.36872,1791,Europe
AAF,KAAF,Apalachicola Regional Airport,United States,29.733334,-84.98333,20,America
APO,SKLC,Apartado Airport,Colombia,7.817678,-76.717659,46,America
APK,NTGD,Apataki Airport,French Polynesia,-15.575026,-146.413361,18,Pacific
KVK,ULMK,Apatity Airport,Russia,67.463303,33.588299,515,Europe
APW,NSFA,Apia Faleolo International Airport,Samoa,-13.8296,-171.996994,58,Pacific
APV,KAPV,Apple Valley Airport,United States,34.575298,-117.185997,3062,America
ATW,KATW,Appleton International Airport,United States,44.258091,-88.518997,918,America
APU,SSAP,Apucarana Airport,Brazil,-23.609501,-51.384499,2641,America
IUP,SWYN,Apui Airport,Brazil,-7.1727,-59.839409,614,America
AQJ,OJAQ,Aqaba King Hussein International Airport,Jordan,29.61161,35.018059,175,Asia
AJU,SBAR,Aracaju Santa Maria Airport,Brazil,-10.984,-37.070301,23,America
ARX,SBAC,Aracati Airport,Brazil,-4.56861,-37.804722,128,America
ARU,SBAU,Aracatuba Airport,Brazil,-21.1413,-50.424702,1361,America
ARW,LRAR,Arad International Airport,Romania,46.176552,21.26202,352,Europe
AUX,SWGN,Araguaina Airport,Brazil,-7.227867,-48.240467,771,America
AJK,OIHR,Arak Airport,Iran,34.1381,49.847301,5440,Asia
ACF,ZWAL,Aral Talim Airport,China,40.435261,81.263084,3333,Asia
APX,SSOG,Arapongas Airport,Brazil,-23.3529,-51.491699,2599,America
RAE,OERR,Arar Domestic Airport,Saudi Arabia,30.90658,41.13821,1813,Asia
AQA,SBAQ,Araraquara Airport,Brazil,-21.812,-48.132999,2334,America
ARY,YARA,Ararat Airport,Australia,-37.310833,142.989899,1010,Australia
JAW,SNAB,Araripina Airport,Brazil,-7.5864,-40.5354,2421,America
RKA,NTKK,Aratika Airport,French Polynesia,-15.485568,-145.465286,26,Pacific
AUC,SKUC,Arauca Santiago Perez Quiroz Airport,Colombia,7.068889,-70.7369,420,America
AAX,SBAX,Araxa Airport,Brazil,-19.562658,-46.961014,3247,America
AMH,HAAM,Arba Minch Airport,Ethiopia,6.039389,37.59045,3895,Africa
XAC,LFCH,Arcachon La Teste-de-Buch Airport,France,44.59861,-1.11472,49,Europe
ACV,KACV,Arcata Eureka Airport,United States,40.978111,-124.108002,222,America
YAB,CYAB,Arctic Bay Airport,Canada,73.006386,-85.047218,72,America
ARC,PARC,Arctic Village,United States,68.110001,-145.570007,2092,America
ADU,OITL,Ardabil Airport,Iran,38.323826,48.421249,4317,Asia
AMZ,NZAR,Ardmore Airport,New Zealand,-37.029701,174.973007,111,Pacific
ADM,KADM,Ardmore Municipal Airport,United States,34.303009,-97.0196,776,America
ARE,TJAB,Arecibo Antonio Juarbe Pol Airport,Puerto Rico,18.450836,-66.675621,30,America
QCG,ENGK,Arendal Gullknapp Airport,Norway,58.518326,8.707467,405,Europe
AQP,SPQU,Arequipa Rodriguez Ballon International Airport,Peru,-16.341,-71.583,8405,America
GYL,YARG,Argyle Airport,Australia,-16.629999,128.449997,522,Australia
ARI,SCAR,Arica Chacalluta International Airport,Chile,-18.348499,-70.338699,167,America
AIR,SSOU,Aripuana Airport,Brazil,-10.186673,-59.457531,738,America
AQM,SJOG,Ariquemes Airport,Brazil,-9.880993,-63.047237,461,America
ARH,ULAA,Arkhangelsk Talagi Airport,Russia,64.600281,40.71666,62,Europe
VKV,ULAH,Arkhangelsk Vaskovo Airport,Russia,64.441689,40.422092,73,Europe
QQW,KAWO,Arlington Municipal Airport,United States,48.160831,-122.15889,142,America
QQG,KGKY,Arlington Municipal Airport,United States,32.66,-97.089996,628,America
AXM,SKAR,Armenia El Eden International Airport,Colombia,4.453333,-75.7658,3990,America
ARM,YARM,Armidale Airport,Australia,-30.528334,151.616669,3556,Australia
ATS,KATS,Artesia Municipal Airport,United States,32.852501,-104.468002,3541,America
ATC,MYCA,Arthur's Town Airport,Bahamas,24.628611,-75.671387,18,America
RUA,HUAR,Arua Airport,Uganda,3.049893,30.911785,3928,Africa
ARK,HTAR,Arusha Airport,Tanzania,-3.36779,36.633331,4550,Africa
AXR,NTGU,Arutua Airport,French Polynesia,-15.2463,-146.619995,9,Pacific
YEK,CYEK,Arviat Airport,Canada,61.094158,-94.070801,32,America
AJR,ESNX,Arvidsjaur Airport,Sweden,65.590271,19.28194,1245,Europe
YIE,ZBES,Arxan Yiershi Airport,China,47.310555,119.911942,2918,Asia
ABB,DNAS,Asaba International Airport,Nigeria,6.203055,6.667222,242,Africa
AKJ,RJEC,Asahikawa Airport,Japan,43.67083,142.447495,721,Asia
ASI,FHAW,Ascension Island Airport,Saint Helena,-7.9696,-14.3937,278,Atlantic
AVL,KAVL,Asheville Regional Airport,United States,35.436192,-82.541801,2164,America
ASB,UTAA,Ashgabat International Airport,Turkmenistan,37.986809,58.360958,692,Asia
ASM,HHAS,Asmara International Airport,Eritrea,15.29185,38.91066,7661,Africa
ASO,HASO,Asosa Airport,Ethiopia,10.01855,34.58625,5120,Africa
ASE,KASE,Aspen Pitkin County Airport,United States,39.22316,-106.867996,7838,America
PGU,OIBP,Assaluyeh Persian Gulf Airport,Iran,27.383959,52.735516,40,Asia
ATZ,HEAT,Assiut Airport,Egypt,27.046499,31.01198,772,Africa
NQZ,UACC,Astana Nursultan Nazarbayev International Airport,Kazakhstan,51.022221,71.466942,1165,Asia
AST,KAST,Astoria Regional Airport,United States,46.159721,-123.879997,15,America
ASF,URWA,Astrakhan Narimanovo Airport,Russia,46.283329,48.006271,65,Europe
OVD,LEAS,Asturias Airport,Spain,43.56356,-6.03462,416,Europe
JTY,LGPL,Astypalaia Island National Airport,Greece,36.579887,26.375822,165,Europe
ASU,SGAS,Asuncion Silvio Pettirossi International Airport,Paraguay,-25.239799,-57.5191,292,America
ASW,HESN,Aswan International Airport,Egypt,23.96435,32.819969,662,Africa
ABU,WATA,Atambua Haliwen Airport,Indonesia,-9.074864,124.903091,1028,Asia
AUT,WPAT,Atauro Airport,Timor-Leste (East Timor),-8.243113,125.606392,17,Asia
AHN,KAHN,Athens Ben Epps Airport,United States,33.95195,-83.324722,808,America
ATH,LGAV,Athens Eleftherios Venizelos,Greece,37.936352,23.94446,308,Europe
ATO,KUNI,Athens Gordon K. Bush Airport,United States,39.210999,-82.2314,766,America
MMI,KMMI,Athens McMinn County Airport,United States,35.397221,-84.5625,858,America
QQR,KRYY,Atlanta Cobb County Airport,United States,34.013058,-84.59861,1040,America
PDK,KPDK,Atlanta DeKalb Peachtree Airport,United States,33.869999,-84.300003,1003,America
FTY,KFTY,Atlanta Fulton County Airport,United States,33.777195,-84.521141,821,America
ATL,KATL,Atlanta Hartsfield-Jackson International Airport,United States,33.636719,-84.428001,1026,America
QTF,KFFC,Atlanta Regional Airport,United States,33.357475,-84.572121,784,America
ACY,KACY,Atlantic City International Airport,United States,39.457581,-74.577103,74,America
ATK,PATQ,Atqasuk Airport,United States,70.467056,-157.435471,94,America
YAT,CYAT,Attawapiskat Airport,Canada,52.919998,-82.43,31,America
AUQ,NTMN,Atuona Airport,French Polynesia,-9.76879,-139.011002,1481,Pacific
MER,KMER,Atwater Castle Airport,United States,37.380482,-120.568001,191,America
GUW,UATG,Atyrau Airport,Kazakhstan,47.121941,51.821381,-72,Asia
LEW,KLEW,Auburn Airport,United States,44.048611,-70.283607,288,America
AUN,KAUN,Auburn Municipal Airport,United States,38.9548,-121.082001,1539,America
AUO,KAUO,Auburn University Regional Airport,United States,32.615101,-85.433998,777,America
AKL,NZAA,Auckland Airport,New Zealand,-37.010914,174.790176,3,Pacific
AGB,EDMA,Augsburg Airport,Germany,48.425152,10.93176,1515,Europe
DNL,KDNL,Augusta Daniel Field Airport,United States,33.468098,-82.0392,414,America
AGS,KAGS,Augusta Regional Airport,United States,33.369942,-81.9645,144,America
AUG,KAUG,Augusta State Airport,United States,44.320648,-69.797302,352,America
AKS,AGGA,Auki Airport,Solomon Islands,-8.702528,160.681778,23,Pacific
YPJ,CYLA,Aupaluk Airport,Canada,59.296665,-69.599724,117,America
IXU,VAAU,Aurangabad Airport,India,19.86272,75.398109,1911,Asia
AUR,LFLW,Aurillac Tronquieres Airport,France,44.897579,2.416719,2096,Europe
QSA,KUAO,Aurora State Airport,United States,45.247269,-122.77002,198,America
AUU,YAUR,Aurukun Airport,Australia,-13.353889,141.72084,29,Australia
AUS,KAUS,Austin Bergstrom International Airport,United States,30.194521,-97.6698,542,America
EDC,KEDC,Austin Executive Airport,United States,30.389999,-97.559998,620,America
AUM,KAUM,Austin Municipal Airport,United States,43.663853,-92.933189,1227,America
AVG,YAUV,Auvergne Airport,Australia,-15.690627,130.00882,69,Australia
AUF,LFLA,Auxerre Branches Airport,France,47.846321,3.496578,523,Europe
AVX,KAVX,Avalon Catalina Airport,United States,33.404999,-118.415833,1602,America
RAR,NCRG,Avarua Rarotonga International Airport,Cook Islands,-21.2027,-159.804993,19,Pacific
AVB,LIPA,Aviano Air Base,Italy,46.031879,12.59647,410,Europe
AVN,LFMV,Avignon Caumont Airport,France,43.906582,4.902028,124,Europe
AVP,KAVP,Avoca Wilkes-Barre/Scranton International Airport,United States,41.33847,-75.723297,962,America
AVO,KAVO,Avon Park Executive Airport,United States,27.590343,-81.528511,153,America
KHB,OBKH,Awali Sakhir Air Base,Bahrain,26.034721,50.524445,49,Asia
AWA,HALA,Awasa Airport,Ethiopia,7.095,38.398335,5604,Africa
AXU,HAAX,Axum Airport,Ethiopia,14.14675,38.772831,6915,Africa
AYP,SPHO,Ayacucho Airport,Peru,-13.1548,-74.204399,8917,America
CII,LTBD,Aydin Cildir Airport,Turkey,37.815407,27.887142,96,Europe
AYQ,YAYE,Ayers Rock Airport,Australia,-25.1861,130.975494,1626,Australia
AYJ,VEAY,Ayodhya Airport,India,26.751339,82.15538,403,Asia
AYR,YAYR,Ayr Airport,Australia,-19.591232,147.326462,41,Australia
AZH,VEAH,Azamgarh Airport,India,26.155241,83.117126,313,Asia
BXB,WASO,Babo Airport,Indonesia,-2.53224,133.438797,10,Asia
BCM,LRBC,Bacau International Airport,Romania,46.521938,26.910271,607,Europe
BCD,RPVB,Bacolod City Silay International Airport,Philippines,10.776905,123.018394,25,Asia
BJZ,LEBZ,Badajoz Airport,Spain,38.891251,-6.82133,609,Europe
BDN,OPTH,Badin Talhar Airport,Pakistan,24.841511,68.838402,28,Asia
BDD,YBAU,Badu Island Airport,Australia,-10.15,142.173401,14,Australia
BFX,FKKU,Bafoussam Airport,Cameroon,5.536919,10.35458,4347,Africa
BGX,SBBG,Bage Comandante Gustavo Kraemer Airport,Brazil,-31.390499,-54.112202,600,America
BGW,ORBI,Baghdad International Airport,Iraq,33.262501,44.234444,114,Asia
BGL,VNBL,Baglung Airport,Nepal,28.212799,83.666298,3320,Asia
BAG,RPUB,Baguio Loakan Airport,Philippines,16.375099,120.619598,4251,Asia
BHV,OPBW,Bahawalpur Airport,Pakistan,29.348057,71.717781,392,Asia
BHI,SAZB,Bahia Blanca Comandante Espora Airport,Argentina,-38.724899,-62.1693,246,America
BSC,SKBS,Bahia Solano Jose Celestino Mutis Airport,Colombia,6.202936,-77.394798,80,America
BJR,HABD,Bahir Dar Airport,Ethiopia,11.60807,37.32164,5976,Africa
BAH,OBBI,Bahrain International Airport,Bahrain,26.27083,50.63361,6,Asia
