iata,icao,name,country,latitude,longitude,altitude,continent
MKO,KMKO,Muskogee Davis Field Airport,United States,35.653721,-95.358253,592,America
YQA,CYQA,Muskoka Airport,Canada,44.97472,-79.303299,925,America
MSA,CZMD,Muskrat Dam Airport,Canada,53.816666,-91.98333,911,America
MUZ,HTMU,Musoma Airport,Tanzania,-1.5025,33.801941,3806,Africa
MQS,TVSM,Mustique Airport,Saint Vincent And The Grenadines,12.88794,-61.180099,10,America
MOK,UTNM,Muynak Airport,Uzbekistan,43.754902,59.03178,171,Asia
MWZ,HTMW,Mwanza Airport,Tanzania,-2.44448,32.932659,3763,Africa
MGZ,VYME,Myeik Airport,Myanmar (Burma),12.43979,98.621468,75,Asia
MYT,VYMK,Myitkyina Airport,Myanmar (Burma),25.382835,97.352791,464,Asia
NLV,UKON,Mykolaiv International Airport,Ukraine,47.057899,31.9198,184,Europe
JMK,LGMK,Mykonos Island National Airport,Greece,37.43512,25.348101,405,Europe
MYR,KMYR,Myrtle Beach International Airport,United States,33.679749,-78.928299,25,America
MYQ,VOMY,Mysore Airport,India,12.229991,76.653,2384,Asia
MJT,LGMT,Mytilene International Airport,Greece,39.057144,26.599037,29,Europe
NDJ,FTTJ,N'Djamena International Airport,Chad,12.13368,15.03401,968,Africa
NBC,UWKE,Naberezhnye Chelny Begishevo Airport,Russia,55.564125,52.103409,643,Europe
NBX,WABI,Nabire Airport,Indonesia,-3.36818,135.496399,20,Asia
MNC,FQNC,Nacala Airport,Mozambique,-14.4882,40.71225,410,Africa
OCH,KOCH,Nacogdoches Airport,United States,31.578176,-94.709999,344,America
NAN,NFFN,Nadi International Airport,Fiji,-17.755301,177.443298,59,Pacific
NDR,GMMW,Nador International Airport,Morocco,34.988888,-3.028333,574,Africa
NYM,USMM,Nadym Airport,Russia,65.481659,72.698883,49,Asia
WNP,RPUN,Naga Airport,Philippines,13.587222,123.269997,142,Asia
NGS,RJFU,Nagasaki Airport,Japan,32.916939,129.913605,15,Asia
NGO,RJGG,Nagoya Chubu Centrair International Airport,Japan,34.85841,136.805405,15,Asia
NKM,RJNA,Nagoya Komaki Airport,Japan,35.255501,136.924423,49,Asia
NAG,VANP,Nagpur Dr. Babasaheb Ambedkar International Airport,India,21.09219,79.04718,1033,Asia
YDP,CYDP,Nain Airport,Canada,56.548573,-61.685467,60,America
NBO,HKJK,Nairobi Jomo Kenyatta International Airport,Kenya,-1.31924,36.927769,5330,Africa
WIL,HKNW,Nairobi Wilson Airport,Kenya,-1.32171,36.814831,5546,Africa
EAM,OENG,Najran Domestic Airport,Saudi Arabia,17.611429,44.419159,3982,Asia
SHB,RJCN,Nakashibetsu Airport,Japan,43.577499,144.960007,234,Asia
NAJ,UBBN,Nakhchivan International Airport,Azerbaijan,39.18861,45.458332,2863,Asia
KOP,VTUW,Nakhon Phanom Airport,Thailand,17.383789,104.642998,587,Asia
NAK,VTUQ,Nakhon Ratchasima Airport,Thailand,14.94949,102.312698,765,Asia
NST,VTSF,Nakhon Si Thammarat Airport,Thailand,8.539444,99.944725,13,Asia
NAL,URMN,Nalchik Airport,Russia,43.513332,43.638332,1460,Europe
NMA,UTFN,Namangan Airport,Uzbekistan,40.98457,71.55674,1555,Asia
